Tourney_Nb,Team Name,InjurySub,Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10
1,the Lacey Underalls,Erik van Rooyen,Collin Morikawa,Max Homa,Billy Horschel,Bryson DeChambeau,Maverick McNealy,Rickie Fowler,Harry Hall,,,
1,the Lacey Underalls,,,,,,24382.0,,195025.0,,,
2,#winning,Patrick Cantlay,Scottie Scheffler,Hideki Matsuyama,Jon Rahm,,,,,,,
2,#winning,,,132675.0,,,,,,,,
2,$14 the Hard Way,Justin Rose,Ludvig Aberg,Sahith Theegala,Tom Kim,Nick Dunlap,Brooks Koepka,Bryson DeChambeau,,,,
2,$14 the Hard Way,,,36975.0,18444.0,195025.0,,,,,,
2,19th Hole,Hideki Matsuyama,Collin Morikawa,Ludvig Aberg,Aaron Rai,Bryson DeChambeau,Michael Thorbjornsen,Karl Vilips,,,,
2,19th Hole,,,,,,,,,,,
2,2BallChinPutter,Xander Schauffele,Scottie Scheffler,Rasmus Hojgaard,Rickie Fowler,Matt McCarty,Bryson DeChambeau,Takumi Kanaya,Michael Thorbjornsen,,,
2,2BallChinPutter,,,,,18444.0,,,,,,
2,3 Finger Pour,Justin Rose,Jhonattan Vegas,Bud Cauley,Russell Henley,Brian Harman,Tom Hoge,Tom Kim,Sahith Theegala,Harris English,Eric Cole,
2,3 Finger Pour,,,52138.0,195025.0,80088.0,24382.0,18444.0,36975.0,,356700.0,
2,6 Footer,Keegan Bradley,Xander Schauffele,Ludvig Aberg,Matt Fitzpatrick,Christiaan Bezuidenhout,,,,,,
2,6 Footer,,,,,,,,,,,
2,7,Aaron Rai,Xander Schauffele,Akshay Bhatia,Min Woo Lee,Christiaan Bezuidenhout,Denny McCarthy,Brian Harman,Alex Noren,,,
2,7,,,,,,132675.0,80088.0,,,,
2,7 Iron to the Greener,Alex Noren,Scottie Scheffler,Maverick McNealy,Sepp Straka,Ben Griffin,Austin Eckroat,Chris Kirk,,,,
2,7 Iron to the Greener,,,24382.0,52138.0,24382.0,,,,,,
2,72 Holes Guaranteed,Jason Day,Rory McIlroy,Cameron Young,Byeong Hun An,Nick Dunlap,Nicolai Hojgaard,Brooks Koepka,Patrick Rodgers,,,
2,72 Holes Guaranteed,,,,,195025.0,,,,,,
2,A Rai of Hoge,Min Woo Lee,Collin Morikawa,Hideki Matsuyama,Cam Davis,Aaron Rai,Tom Hoge,Matt Kuchar,,,,
2,A Rai of Hoge,,,132675.0,,,24382.0,80088.0,,,,
2,Above Par,Jason Day,Xander Schauffele,Russell Henley,Billy Horschel,Robert MacIntyre,Cam Davis,Brian Harman,,,,
2,Above Par,,,195025.0,,20387.0,,80088.0,,,,
2,BallsDeep,Byeong Hun An,Sahith Theegala,Shane Lowry,Maverick McNealy,Hideki Matsuyama,Wyndham Clark,,,,,
2,BallsDeep,,36975.0,,24382.0,132675.0,,,,,,
2,BandonDunes,Alex Noren,Sahith Theegala,Tom Kim,Max Greyserman,Maverick McNealy,Austin Eckroat,Rickie Fowler,Michael Thorbjornsen,Thomas Detry,Luke Clanton,
2,BandonDunes,,36975.0,18444.0,,24382.0,,,,20387.0,,
2,Bears Birdie Club,Max Greyserman,Ludvig Aberg,Tony Finau,Nick Dunlap,Matt McCarty,Taylor Pendrith,Michael Thorbjornsen,Nico Echavarria,Karl Vilips,,
2,Bears Birdie Club,,,,195025.0,18444.0,24382.0,,948300.0,,,
2,Berkley 8,Jhonattan Vegas,Tony Finau,Sam Burns,Keegan Bradley,Maverick McNealy,Rasmus Hojgaard,Rickie Fowler,Matt McCarty,Adam Hadwin,Matteo Manassero,William Mouw
2,Berkley 8,,,,283838.0,24382.0,,,18444.0,19314.0,,
2,Birdie Boys,Wyndham Clark,Xander Schauffele,Ludvig Aberg,Keegan Bradley,Brian Harman,,,,,,
2,Birdie Boys,,,,283838.0,80088.0,,,,,,
2,Blurry Golfers,Tom Hoge,Collin Morikawa,Viktor Hovland,Harris English,Min Woo Lee,Chris Kirk,Doug Ghim,,,,
2,Blurry Golfers,,,,,,,17226.0,,,,
2,Bob Loblaw,Justin Rose,Adam Hadwin,Rickie Fowler,Chris Kirk,Joel Dahmen,Viktor Hovland,Will Zalatoris,Matt Fitzpatrick,Kevin Yu,Matthieu Pavon,
2,Bob Loblaw,,19314.0,,,,,,,,,
2,Busch League,Eric Cole,Xander Schauffele,Tommy Fleetwood,Robert MacIntyre,Aaron Rai,Brian Harman,Nick Dunlap,,,,
2,Busch League,,,,20387.0,,80088.0,195025.0,,,,
2,Crackem 94,Aaron Rai,Scottie Scheffler,Russell Henley,Tom Hoge,Nick Taylor,Kevin Yu,Chan Kim,,,,
2,Crackem 94,,,195025.0,24382.0,1566000.0,,20387.0,,,,
2,Double Eagles,Maverick McNealy,Scottie Scheffler,Tom Kim,Cam Davis,Jon Rahm,,,,,,
2,Double Eagles,,,18444.0,,,,,,,,
2,East West Mics,Matteo Manassero,Xander Schauffele,Will Zalatoris,Rasmus Hojgaard,Frankie Capan III,Aldrich Potgieter,Karl Vilips,Matthew Riedel,Braden Thornberry,Takumi Kanaya,William Mouw
2,East West Mics,,,,,24382.0,,,,,,
2,El Quatro,Xander Schauffele,Scottie Scheffler,Cameron Young,Jon Rahm,Tom Hoge,,,,,,
2,El Quatro,,,,,24382.0,,,,,,
2,Ex-Sepp-tional,Scottie Scheffler,Xander Schauffele,Ludvig Aberg,Davis Thompson,Austin Eckroat,Ben Griffin,,,,,
2,Ex-Sepp-tional,,,,,,24382.0,,,,,
2,Fore Right,Jordan Spieth,Ludvig Aberg,Viktor Hovland,Robert MacIntyre,Brooks Koepka,Bryson DeChambeau,Lucas Glover,Aaron Rai,,,
2,Fore Right,,,,20387.0,,,80088.0,,,,
2,FroZone,Si Woo Kim,Wyndham Clark,Sahith Theegala,Sam Burns,Russell Henley,Shane Lowry,Takumi Kanaya,,,,
2,FroZone,,,36975.0,,195025.0,,,,,,
2,Gamechanger,Kevin Yu,Wyndham Clark,Tom Kim,Keegan Bradley,Eric Cole,Brian Harman,Chris Kirk,Rickie Fowler,Stephan Jaeger,Justin Rose,Matthieu Pavon
2,Gamechanger,,,18444.0,283838.0,356700.0,80088.0,,,513300.0,,
2,Garden State Golf Club,Maverick McNealy,Sahith Theegala,Max Homa,Akshay Bhatia,Nick Dunlap,Matt McCarty,Nico Echavarria,Billy Horschel,,,
2,Garden State Golf Club,,36975.0,,,195025.0,18444.0,948300.0,,,,
2,General Patton's Troops,Jake Knapp,Ludvig Aberg,Patrick Cantlay,Harris English,Maverick McNealy,Brian Harman,Stephan Jaeger,Patton Kizzire,Patrick Fishburn,,
2,General Patton's Troops,,,,,24382.0,80088.0,513300.0,,283838.0,,
2,Gimme Dat,Christiaan Bezuidenhout,Collin Morikawa,Justin Thomas,Aaron Rai,Russell Henley,Rasmus Hojgaard,,,,,
2,Gimme Dat,,,,,195025.0,,,,,,
2,Go back to your shanties!,Adam Hadwin,Viktor Hovland,Tommy Fleetwood,Jason Day,Rasmus Hojgaard,Christiaan Bezuidenhout,Nicolai Hojgaard,Alex Noren,Erik van Rooyen,Matteo Manassero,
2,Go back to your shanties!,19314.0,,,,,,,,52138.0,,
2,Goin’ Homa,Eric Cole,Aaron Rai,Ludvig Aberg,Tyrrell Hatton,Tom Hoge,Max Homa,Min Woo Lee,Mackenzie Hughes,Stephan Jaeger,,
2,Goin’ Homa,,,,,24382.0,,,,513300.0,,
2,Golf Ball Whacker Guy,Rory McIlroy,Xander Schauffele,Ludvig Aberg,Max Homa,,,,,,,
2,Golf Ball Whacker Guy,,,,,,,,,,,
2,Good Money After Bad,Scottie Scheffler,Sungjae Im,Sahith Theegala,Sepp Straka,Christiaan Bezuidenhout,Tom Hoge,Chris Kirk,Brian Harman,Adam Hadwin,Ben Griffin,Nick Taylor
2,Good Money After Bad,,,36975.0,52138.0,,24382.0,,80088.0,19314.0,24382.0,1566000.0
2,Good Ol Boys,Thomas Detry,Hideki Matsuyama,Maverick McNealy,Christiaan Bezuidenhout,Sepp Straka,Jhonattan Vegas,Aaron Rai,Tom Hoge,Stephan Jaeger,Chris Kirk,Taylor Pendrith
2,Good Ol Boys,,132675.0,24382.0,,52138.0,,,24382.0,513300.0,,24382.0
2,Hack to the Future,Brian Harman,Collin Morikawa,Wyndham Clark,Akshay Bhatia,Taylor Pendrith,Austin Eckroat,,,,,
2,Hack to the Future,,,,,24382.0,,,,,,
2,Hole 6,Keegan Bradley,Justin Thomas,Sungjae Im,Matt Fitzpatrick,Jason Day,Sepp Straka,Taylor Pendrith,Matt McCarty,,,
2,Hole 6,,,,,,52138.0,24382.0,18444.0,,,
2,Hunter Crew,Shane Lowry,Matt Fitzpatrick,Wyndham Clark,Keegan Bradley,Rory McIlroy,Billy Horschel,,,,,
2,Hunter Crew,,,,283838.0,,,,,,,
2,I know ball,Collin Morikawa,Aaron Rai,Akshay Bhatia,Scottie Scheffler,Si Woo Kim,,,,,,
2,I know ball,,,,,,,,,,,
2,I love broccoli ,Sahith Theegala,Scottie Scheffler,Akshay Bhatia,Shane Lowry,Brian Harman,,,,,,
2,I love broccoli ,,,,,80088.0,,,,,,
2,In Rory We Trust,Harry Hall,Rory McIlroy,Justin Thomas,Jason Day,Taylor Pendrith,Alex Noren,Ben Griffin,Daniel Berger,Nico Echavarria,,
2,In Rory We Trust,195025.0,,,,24382.0,,24382.0,,948300.0,,
2,It Burns When I Pee,Rickie Fowler,Justin Thomas,Sam Burns,Shane Lowry,Maverick McNealy,Tom Hoge,Aaron Rai,Alex Noren,Ben Griffin,Taylor Pendrith,
2,It Burns When I Pee,,,,,24382.0,24382.0,,,24382.0,24382.0,
2,Jackets and Jeans,Cameron Young,Ludvig Aberg,Max Homa,Austin Eckroat,Min Woo Lee,Adam Hadwin,Alex Noren,Cam Davis,Brian Harman,,
2,Jackets and Jeans,,,,,,19314.0,,,80088.0,,
2,John Daly's Fitness Plan,Andrew Novak,Sam Burns,Russell Henley,Shane Lowry,Davis Thompson,Sepp Straka,Tom Hoge,Austin Eckroat,Brian Harman,Alex Noren,Ben Griffin
2,John Daly's Fitness Plan,,,195025.0,,,52138.0,24382.0,,80088.0,,24382.0
2,Knaby's,Matthieu Pavon,Hideki Matsuyama,Sahith Theegala,Jordan Spieth,J.T. Poston,Maverick McNealy,Eric Cole,Adam Hadwin,,,
2,Knaby's,,132675.0,36975.0,,,24382.0,356700.0,19314.0,,,
2,Lincoln Hawk of the Trucker's Division,Akshay Bhatia,Ludvig Aberg,Matt McCarty,Maverick McNealy,Michael Thorbjornsen,Tom Hoge,Nick Dunlap,Thomas Detry,Rasmus Hojgaard,Andrew Novak,
2,Lincoln Hawk of the Trucker's Division,,,18444.0,24382.0,,24382.0,195025.0,20387.0,,,
2,Lump of Clay,Tommy Fleetwood,Rory McIlroy,Sam Burns,Shane Lowry,Aaron Rai,Alex Noren,Taylor Pendrith,Ben Griffin,Andrew Novak,Patrick Fishburn,
2,Lump of Clay,,,,,,,24382.0,24382.0,,283838.0,
2,Mahady,Akshay Bhatia,Xander Schauffele,Ludvig Aberg,Max Homa,,,,,,,
2,Mahady,,,,,,,,,,,
2,MoB Inc,Bryson DeChambeau,Rory McIlroy,Matt Fitzpatrick,Shane Lowry,Davis Thompson,Wyndham Clark,,,,,
2,MoB Inc,,,,,,,,,,,
2,No Bueno Shank,Tom Hoge,Rory McIlroy,Will Zalatoris,Keegan Bradley,Matt McCarty,Rickie Fowler,Jordan Spieth,,,,
2,No Bueno Shank,,,,283838.0,18444.0,,,,,,
2,OTP Sandbaggers,Ben Griffin,Aaron Rai,Adam Schenk,Adam Hadwin,Alex Noren,Billy Horschel,Chris Kirk,Keith Mitchell,Stephan Jaeger,Taylor Pendrith,Xander Schauffele
2,OTP Sandbaggers,24382.0,,283838.0,19314.0,,,,52138.0,513300.0,24382.0,
2,Q School,Keegan Bradley,Tony Finau,Adam Scott,Brian Harman,Collin Morikawa,Si Woo Kim,Nicolai Hojgaard,,,,
2,Q School,,,,80088.0,,,,,,,
2,Rat Farts!,Tom Kim,Viktor Hovland,Sam Burns,Akshay Bhatia,Corey Conners,Keegan Bradley,,,,,
2,Rat Farts!,,,,,,283838.0,,,,,
2,Rated X,Akshay Bhatia,Xander Schauffele,Billy Horschel,Tom Hoge,Sam Burns,Maverick McNealy,Frankie Capan III,Aldrich Potgieter,,,
2,Rated X,,,,24382.0,,24382.0,24382.0,,,,
2,Ricky Strokes,Aaron Rai,Christiaan Bezuidenhout,Cam Davis,Corey Conners,Jhonattan Vegas,Erik van Rooyen,Keegan Bradley,Justin Rose,Matt Fitzpatrick,Jordan Spieth,Robert MacIntyre
2,Ricky Strokes,,,,,,52138.0,283838.0,,,,20387.0
2,Sandbagger,Ludvig Aberg,Hideki Matsuyama,Patrick Cantlay,Max Greyserman,Jason Day,Jordan Spieth,Erik van Rooyen,,,,
2,Sandbagger,,132675.0,,,,,52138.0,,,,
2,Sexual Chocolate,Patrick Cantlay,Rory McIlroy,Ludvig Aberg,Davis Thompson,Austin Eckroat,Brian Harman,Daniel Berger,,,,
2,Sexual Chocolate,,,,,,80088.0,,,,,
2,Slog,Alex Noren,Ben Griffin,Sam Burns,Taylor Pendrith,Aaron Rai,Rory McIlroy,Maverick McNealy,Doug Ghim,Thirston Lawrence,Andrew Novak,Takumi Kanaya
2,Slog,,24382.0,,24382.0,,,24382.0,17226.0,,,
2,SoCal Hacker,Max Homa,Denny McCarthy,Hideki Matsuyama,Rasmus Hojgaard,Tommy Fleetwood,Tom Hoge,Will Zalatoris,,,,
2,SoCal Hacker,,132675.0,132675.0,,,24382.0,,,,,
2,Son of a Squanch!,Adam Hadwin,Xander Schauffele,Akshay Bhatia,Matt Fitzpatrick,Cam Davis,Patrick Rodgers,Matthieu Pavon,Bryson DeChambeau,,,
2,Son of a Squanch!,,,,,,,,,,,
2,Stay Up!!,Emiliano Grillo,Collin Morikawa,Akshay Bhatia,Jordan Spieth,Eric Cole,Min Woo Lee,Chris Kirk,Beau Hossler,Doug Ghim,,
2,Stay Up!!,,,,,356700.0,,,,17226.0,,
2,Team Miller Time,Hideki Matsuyama,Xander Schauffele,Ludvig Aberg,Alex Noren,Aaron Rai,Taylor Pendrith,,,,,
2,Team Miller Time,,,,,,24382.0,,,,,
2,The Hulkamaniacs,Matt Kuchar,Xander Schauffele,Si Woo Kim,Ben Griffin,Matt McCarty,Corey Conners,Harry Hall,Matthieu Pavon,Thomas Detry,,
2,The Hulkamaniacs,,,,24382.0,18444.0,,195025.0,,20387.0,,
2,Three Out of the Sand,Scottie Scheffler,Austin Eckroat,Denny McCarthy,Davis Thompson,Justin Thomas,Ludvig Aberg,Robert MacIntyre,,,,
2,Three Out of the Sand,,,132675.0,,,,20387.0,,,,
2,Titos at the Turn,Patrick Cantlay,Ludvig Aberg,Hideki Matsuyama,Si Woo Kim,Rasmus Hojgaard,Chris Kirk,Michael Thorbjornsen,,,,
2,Titos at the Turn,,,132675.0,,,,,,,,
2,Turd Ferguson,Shane Lowry,Scottie Scheffler,Sam Burns,Maverick McNealy,Justin Rose,Frankie Capan III,,,,,
2,Turd Ferguson,,,,24382.0,,24382.0,,,,,
2,WVU69,Taylor Moore,Austin Eckroat,Corey Conners,Eric Cole,Matt McCarty,Nick Dunlap,Sam Burns,Sepp Straka,Taylor Pendrith,Maverick McNealy,
2,WVU69,,,,356700.0,18444.0,195025.0,,52138.0,24382.0,24382.0,
2,Walking Bogey,Taylor Pendrith,Ludvig Aberg,Sungjae Im,Maverick McNealy,Davis Thompson,Austin Eckroat,Harry Hall,Ben Griffin,Patrick Fishburn,,
2,Walking Bogey,,,,24382.0,,,195025.0,24382.0,283838.0,,
2,Who's Up and Why Aren't They Hitting,Sahith Theegala,Scottie Scheffler,Patrick Cantlay,Shane Lowry,,,,,,,
2,Who's Up and Why Aren't They Hitting,,,,,,,,,,,
2,Wrecking Crew,Davis Thompson,Xander Schauffele,Akshay Bhatia,Brian Harman,Jordan Spieth,Keegan Bradley,Michael Thorbjornsen,,,,
2,Wrecking Crew,,,,80088.0,,283838.0,,,,,
2,Young Guns,Chris Kirk,Akshay Bhatia,Matt Fitzpatrick,Nick Dunlap,Robert MacIntyre,Christiaan Bezuidenhout,Taylor Pendrith,Aaron Rai,Tom Hoge,Brian Harman,Matthieu Pavon
2,Young Guns,,,,195025.0,20387.0,,24382.0,,24382.0,80088.0,
2,the Lacey Underalls,Erik van Rooyen,Collin Morikawa,Max Homa,Billy Horschel,Bryson DeChambeau,Maverick McNealy,Rickie Fowler,Harry Hall,,,
2,the Lacey Underalls,,,,,,24382.0,,195025.0,,,
